date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:06	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-fb63f473e022f14e;gz%22	https://binancepay.in/robots.txt		(from )
00:42:07	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2031%20May%202025%2019:12:05%20GMT	https://binancepay.in/	C:/My%20Web%20Sites/binancepay/binancepay.in/index.html	(from )
00:42:07	2475/2475	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2019:12:06%20GMT	https://binancepay.in/login.php	C:/My%20Web%20Sites/binancepay/binancepay.in/login.html	(from https://binancepay.in/)
00:42:07	43182/43182	---M--	200	added ('OK')	image/png	etag:%22a8ae-6835a730-5b21db18cd4960ab;;;%22	https://binancepay.in/images/logo.png	C:/My%20Web%20Sites/binancepay/binancepay.in/images/logo.png	(from https://binancepay.in/login.php)
00:42:07	802/802	---M--	200	added ('OK')	image/png	etag:%22322-6835a730-8fe7eaaa005f72ff;;;%22	https://binancepay.in/assets/icons/phone-icon.png	C:/My%20Web%20Sites/binancepay/binancepay.in/assets/icons/phone-icon.png	(from https://binancepay.in/login.php)
00:42:08	428/428	---M--	200	added ('OK')	image/png	etag:%221ac-6835a730-70f6badb95a63494;;;%22	https://binancepay.in/assets/icons/password-icon.png	C:/My%20Web%20Sites/binancepay/binancepay.in/assets/icons/password-icon.png	(from https://binancepay.in/login.php)
00:42:08	2997/2997	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2019:12:07%20GMT	https://binancepay.in/register.php	C:/My%20Web%20Sites/binancepay/binancepay.in/register.html	(from https://binancepay.in/login.php)
00:42:08	1111/1111	---M--	200	added ('OK')	image/png	etag:%22457-6839e555-d4faf3389db6c1a8;;;%22	https://binancepay.in/assets/icons/referral-icon.png	C:/My%20Web%20Sites/binancepay/binancepay.in/assets/icons/referral-icon.png	(from https://binancepay.in/register.php)
